budget,revenue,original_title,director,genres,production_companies,release_year,budget_adj,revenue_adj
150000000,1513528810,Jurassic World,Colin Trevorrow,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,2015,137999939.280026,1392445892.5238
150000000,378436354,Mad Max: Fury Road,George Miller,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,2015,137999939.280026,348161292.489031
110000000,295238201,Insurgent,Robert Schwentke,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2015,101199955.472019,271619025.407628
200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,2015,183999919.040035,1902723129.80182
190000000,1506249360,Furious 7,James Wan,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2015,174799923.088033,1385748801.47052
135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,2015,124199945.352024,490314247.021731
155000000,440603537,Terminator Genisys,Alan Taylor,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,2015,142599937.256027,405355075.683766
108000000,595380321,The Martian,Ridley Scott,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,2015,99359956.2816192,547749654.310152
74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,2015,68079970.0448131,1064192016.79551
175000000,853708609,Inside Out,Pete Docter,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,2015,160999929.160031,785411574.698907
245000000,880674609,Spectre,Sam Mendes,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,2015,225399900.824043,810220283.783075
176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2015,161919931.51523,169268630.681802
15000000,36869414,Ex Machina,Alex Garland,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2015,13799993.9280026,33919845.9552677
88000000,243637091,Pixels,Chris Columbus,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,2015,80959964.3776156,224146025.095748
280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,2015,257599886.656049,1292632336.88177
44000000,155760117,The Hateful Eight,Quentin Tarantino,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2015,40479982.1888078,143299244.588332
48000000,325771424,Taken 3,Olivier Megaton,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,2015,44159980.5696085,299709578.207785
130000000,518602163,Ant-Man,Peyton Reed,Science Fiction|Action|Adventure,Marvel Studios,2015,119599947.376023,477113780.029936
95000000,542351353,Cinderella,Kenneth Branagh,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,2015,87399961.5440169,498963025.216268
160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2015,147199935.232028,598481289.508232
190000000,209035668,Tomorrowland,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,2015,174799923.088033,192312729.942398
30000000,91709827,Southpaw,Antoine Fuqua,Action|Drama,Escape Artists|Riche-Ludwig Productions,2015,27599987.8560053,84373003.7158783
110000000,470490832,San Andreas,Brad Peyton,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2015,101199955.472019,432851374.985395
40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,2015,36799983.8080071,524079119.045187
28000000,133346506,The Big Short,Adam McKay,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,2015,25759988.6656049,122678731.541358
150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2015,137999939.280026,627743451.672881
68000000,215863606,Ted 2,Seth MacFarlane,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,2015,62559972.4736121,198594430.13845
81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,2015,74519967.2112144,371497801.660967
20000000,88346473,Spotlight,Tom McCarthy,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,2015,18399991.9040035,81278719.3973634
61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,2015,56119975.3072108,286356245.923251
0,29355203,Mr. Holmes,Bill Condon,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,2015,0.0,27006774.877019
49000000,102069268,Chappie,Neill Blomkamp,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,2015,45079980.1648087,93903685.2423785
29000000,287506194,Pitch Perfect 2,Elizabeth Banks,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,2015,26679988.2608051,264505582.097543
40000000,162610473,Bridge of Spies,Steven Spielberg,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,2015,36799983.8080071,149601569.335309
58000000,150170815,Goosebumps,Rob Letterman,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,2015,53359976.5216103,138157089.01088
